G1,CDC20low,CDC20high,Time
1,1,1,1.333333333
1.039254251,1.010606438,1.029853601,1.5
1.028510575,0.996553579,1.023375032,1.666666667
1.066496873,0.974291703,0.988902645,1.833333333
1.055373259,0.984854907,1.040658982,2
1.043960101,1.018232826,1.026146373,2.166666667
1.044828918,0.999413664,1.032487842,2.333333333
1.083696987,1.01955963,1.053049687,2.5
1.085120009,1.029175978,1.067240037,2.666666667
1.026412107,1.013580503,1.078117031,2.833333333
1.089670976,1.023625929,1.088189456,3
1.049656755,1.03722528,1.024441808,3.166666667
1.117138468,1.036925904,1.06542814,3.333333333
1.073236424,1.036796336,1.050510614,3.5
1.051099068,1.02910818,1.078104779,3.666666667
1.032212016,1.018097542,1.096288552,3.833333333
1.031909333,1.045845063,1.045450761,4
1.03999493,1.026288425,1.076316954,4.166666667
1.056563957,1.040390503,1.086395505,4.333333333
0.987556806,1.017378735,1.062674918,4.5
1.037812498,1.004494841,1.107070464,4.666666667
0.963037308,1.03910394,1.078289852,4.833333333
1.006218429,1.003233021,1.031045312,5
0.987891547,1.029771336,1.055534834,5.166666667
1.050525852,1.021028418,1.10358377,5.333333333
1.011902688,1.043469616,1.099608294,5.5
1.026180528,1.031524047,1.119282223,5.666666667
1.02069579,1.081086992,1.115789574,5.833333333
1.015790604,1.024091541,1.124199281,6
0.993749327,0.997321917,1.070023371,6.166666667
1.002375244,1.030194161,1.059849825,6.333333333
1.040419507,1.040813283,1.116695696,6.5
1.024068827,1.023332672,1.06683469,6.666666667
0.996685021,1.033584798,1.096878886,6.833333333
1.041623251,1.008675254,1.089107225,7
0.993839722,1.011430203,1.086514573,7.166666667
1.048768928,1.014469431,1.129622722,7.333333333
0.942927409,1.067774199,1.154207412,7.5
0.991934345,1.04735034,1.152931922,7.666666667
1.034806259,1.013506407,1.105592646,7.833333333
1.00787275,1.040359596,1.091389871,8
1.014380536,1.082037019,1.113501407,8.166666667
1.005915839,1.059099168,1.084988955,8.333333333
1.009848952,0.998549837,1.125415237,8.5
0.989777633,0.996754384,1.137019147,8.666666667
1.014676789,0.996578367,1.122500671,8.833333333
1.006623995,1.031924808,1.136935886,9
1.036660474,1.009156543,1.136899993,9.166666667
1.000727447,1.06341174,1.128001592,9.333333333
0.967157083,1.029321044,1.120706806,9.5
1.01005509,1.006712985,1.160322221,9.666666667
1.014213538,1.029401214,1.180836526,9.833333333
1.01618303,1.015567382,1.146763705,10
0.988644807,1.032319852,1.213235066,10.16666667
0.97363337,1.052333169,1.125546298,10.33333333
1.030461056,1.028296697,1.157544927,10.5
0.981956045,1.017248721,1.159464331,10.66666667
0.962554581,1.012581213,1.168350394,10.83333333
1.030351744,1.033075774,1.136971434,11
1.003154225,1.007398071,1.167611485,11.16666667
1.001872947,1.008218575,1.179442055,11.33333333
0.993034927,1.012272458,1.198632897,11.5
0.970646329,1.035642602,1.218389915,11.66666667
1.039518167,1.019254269,1.100073347,11.83333333
0.964917151,1.048711133,1.184507603,12
1.00059204,1.032418245,1.205773413,12.16666667
1.005046929,1.059065001,1.196994079,12.33333333
1.001120245,1.037434973,1.171807495,12.5
0.983565914,1.048837529,1.23646066,12.66666667
1.008374675,1.017992583,1.174215075,12.83333333
0.970015335,1.078769429,1.203347369,13
0.966616856,1.02042971,1.181259733,13.16666667
0.927562127,1.022965408,1.188101458,13.33333333
0.938369638,1.022265404,1.189103179,13.5
0.967472533,1.01305607,1.173988588,13.66666667
0.998107763,1.012247848,1.121690407,13.83333333
1.001570822,1.024452552,1.145839551,14
0.972609763,0.995982875,1.219766957,14.16666667
1.00379808,0.977555274,1.134247893,14.33333333
0.99388492,1.053600973,1.204926739,14.5
1.014201051,1.033464476,1.220094738,14.66666667
0.994811888,1.019720238,1.19348961,14.83333333
1.005478215,1.017958461,1.18288699,15
0.991277724,1.037487541,1.134289567,15.16666667
0.990279744,1.013639414,1.201893105,15.33333333
0.998506246,1.025628038,1.190825258,15.5
0.991992217,1.021373752,1.213461208,15.66666667
1.000038767,1.032890333,1.169429077,15.83333333
0.980694895,1.035117767,1.191666065,16
0.982188649,0.975975677,1.172814737,16.16666667
0.964659852,1.021879739,1.145136707,16.33333333
0.925675854,1.029367225,1.193555356,16.5
0.991329165,1.073969048,1.231233767,16.66666667
1.017593099,1.032523337,1.221292834,16.83333333
0.971567053,1.008120003,1.21570822,17
1.00582563,1.03446716,1.212495898,17.16666667
0.988586563,1.019001119,1.233158779,17.33333333
0.996633579,0.98579283,1.228789862,17.5
0.973247188,0.98990205,1.179036535,17.66666667
0.983598065,0.99806569,1.22904068,17.83333333
0.925598506,1.039054766,1.215618833,18
0.974862649,1.014953266,1.210070199,18.16666667
0.989700378,0.991836629,1.224499116,18.33333333
0.987119555,1.00849017,1.172093171,18.5
0.94868212,1.030921811,1.250025302,18.66666667
0.991696057,0.988884002,1.2521592,18.83333333
1.009881196,1.012411404,1.204908793,19
0.985239339,1.03892511,1.206077553,19.16666667
0.951038261,0.992407288,1.227169249,19.33333333
1.037915473,1.013515786,1.221620528,19.5
0.951006203,1.026665024,1.169143401,19.66666667
0.965400065,1.01858477,1.225852431,19.83333333
0.984473685,0.98442306,1.223324834,20
